"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"MASKMOVDQU (XMM, XMM)","SSE2","≤10","1.00 / 6.00","10 / 10","1*p0+1*p06+1*p15+2*p23A+2*p49+1*p5+2*p78","≤20","4.00 / 18.00","75","4*FP1+2*FP123+2*FP23+4*FP45"
"MAXPD (XMM, M128)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXPD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MAXSD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXSD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MFENCE","SSE2","","0.50 / 38.00","3 / 2","1*p49+1*p78","","58.13","6",""
"MINPD (XMM, M128)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINPD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MINSD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINSD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MOVAPD (M128, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVAPD (XMM, M128)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVAPD_0F28 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVAPD_0F29 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
