"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"PALIGNR (MM, M64, I8)","SSSE3","[1;≤9]","1.00 / 1.00","2 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PALIGNR (MM, MM, I8)","SSSE3","1","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PALIGNR (XMM, M128, I8)","SSSE3","[1;≤8]","1.00 / 1.00","2 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PALIGNR (XMM, XMM, I8)","SSSE3","1","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PHADDD (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDD (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHADDD (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDD (XMM, XMM)","SSSE3","2","1.00 / 1.04","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDSW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p0+1*p23A+2*p5","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDSW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p0+2*p5","3","0.75 / 2.00","3","1*FP01+1*FP123+1*FP23"
"PHADDSW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.06","4 / 4","1*p01+2*p15+1*p23A","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDSW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p01+2*p15","3","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHADDW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHSUBD (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBSW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p0+1*p23A+2*p5","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBSW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p0+2*p5","3","0.75 / 2.00","3","1*FP01+1*FP123+1*FP23"
"PHSUBSW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.06","4 / 4","1*p01+2*p15+1*p23A","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBSW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p01+2*p15","3","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHSUBW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBW (XMM, XMM)","SSSE3","2","1.00 / 1.04","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PMADDUBSW (MM, M64)","SSSE3","[5;≤13]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (MM, MM)","SSSE3","5","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (XMM, M128)","SSSE3","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (XMM, XMM)","SSSE3","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULHRSW (MM, M64)","SSSE3","[5;≤13]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHRSW (MM, MM)","SSSE3","5","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP01"
"PMULHRSW (XMM, M128)","SSSE3","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHRSW (XMM, XMM)","SSSE3","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PSHUFB (MM, M64)","SSSE3","[1;≤11]","1.00 / 1.00","3 / 3","1*p0+1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PSHUFB (MM, MM)","SSSE3","[1;3]","1.00 / 1.00","3 / 2","1*p0+1*p5","2","0.50 / 0.50","1","1*FP12"
"PSHUFB (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PSHUFB (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PSIGNB (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNB (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGNB (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNB (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PSIGND (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGND (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGND (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGND (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PSIGNW (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNW (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGNW (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNW (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
